caldt,sprtrn
20101108,-0.002121
20101109,-0.008052
20101110,0.004376
20101111,-0.004242
20101112,-0.011808
20101115,-0.001217
20101116,-0.016205
20101117,0.000212
20101118,0.015357
20101119,0.002540
20101122,-0.001575
20101123,-0.014284
20101124,0.014923
20101126,-0.007469
20101129,-0.001379
20101130,-0.006070
20101201,0.021617
20101202,0.012818
20101203,0.002603
20101206,-0.001298
20101207,0.000515
20101208,0.003702
20101209,0.003843
20101210,0.006002
20101213,0.000048
20101214,0.000911
20101215,-0.005122
20101216,0.006185
20101217,0.000837
20101220,0.002548
20101221,0.006030
20101222,0.003380
20101223,-0.001644
20101227,0.000613
20101228,0.000771
20101229,0.001009
20101230,-0.001508
20101231,-0.000191
20110103,0.011315
20110104,-0.001313
20110105,0.005007
20110106,-0.002123
20110107,-0.001845
20110110,-0.001376
20110111,0.003725
20110112,0.009008
20110113,-0.001711
20110114,0.007385
20110118,0.001376
20110119,-0.010116
20110120,-0.001295
20110121,0.002414
20110124,0.005836
20110125,0.000263
20110126,0.004221
20110127,0.002244
20110128,-0.017852
20110131,0.007663
20110201,0.016694
20110202,-0.002723
20110203,0.002354
20110204,0.002884
20110207,0.006240
20110208,0.004185
20110209,-0.002786
20110210,0.000750
20110211,0.005507
20110214,0.002385
20110215,-0.003235
20110216,0.006257
20110217,0.003076
20110218,0.001925
20110222,-0.020529
20110223,-0.006112
20110224,-0.000994
20110225,0.010550
20110228,0.005561
20110301,-0.015740
20110302,0.001615
20110303,0.017219
20110304,-0.007378
20110307,-0.008341
20110308,0.008923
20110309,-0.001362
20110310,-0.018871
20110311,0.007080
20110314,-0.006049
20110315,-0.011200
20110316,-0.019495
20110317,0.013398
20110318,0.004302
20110321,0.014994
20110322,-0.003551
20110323,0.002914
20110324,0.009341
20110325,0.003161
20110328,-0.002748
20110329,0.007060
20110330,0.006685
20110331,-0.001829
20110401,0.004963
20110404,0.000345
20110405,-0.000180
20110406,0.002184
20110407,-0.001520
20110408,-0.004004
20110411,-0.002793
20110412,-0.007777
20110413,0.000190
20110414,0.000084
20110415,0.003925
20110418,-0.011018
20110419,0.005731
20110420,0.013515
20110421,0.005277
20110425,-0.001593
20110426,0.008980
20110427,0.006250
20110428,0.003555
20110429,0.002301
20110502,-0.001753
20110503,-0.003379
20110504,-0.006855
20110505,-0.009070
20110506,0.003820
20110509,0.004544
20110510,0.008074
20110511,-0.011111
20110512,0.004895
20110513,-0.008067
20110516,-0.006204
20110517,-0.000369
20110518,0.008804
20110519,0.002178
20110520,-0.007688
20110523,-0.011926
20110524,-0.000827
20110525,0.003183
20110526,0.003953
20110527,0.004081
20110531,0.010593
20110601,-0.022785
20110602,-0.001225
20110603,-0.009734
20110606,-0.010760
20110607,-0.000956
20110608,-0.004187
20110609,0.007378
20110610,-0.013980
20110613,0.000669
20110614,0.012612
20110615,-0.017432
20110616,0.001754
20110617,0.003045
20110620,0.005395
20110621,0.013423
20110622,-0.006468
20110623,-0.002828
20110624,-0.011726
20110627,0.009184
20110628,0.012944
20110629,0.008283
20110630,0.010119
20110701,0.014410
20110705,-0.001336
20110706,0.001002
20110707,0.010454
20110708,-0.006961
20110711,-0.018090
20110712,-0.004434
20110713,0.003106
20110714,-0.006716
20110715,0.005554
20110718,-0.008130
20110719,0.016309
20110720,-0.000671
20110721,0.013546
20110722,0.000908
20110725,-0.005643
20110726,-0.004105
20110727,-0.020309
20110728,-0.003234
20110729,-0.006451
20110801,-0.004132
20110802,-0.025557
20110803,0.005016
20110804,-0.047820
20110805,-0.000575
20110808,-0.066634
20110809,0.047407
20110810,-0.044152
20110811,0.046290
20110812,0.005262
20110815,0.021785
20110816,-0.009739
20110817,0.000947
20110818,-0.044594
20110819,-0.015009
20110822,0.000258
20110823,0.034285
20110824,0.013120
20110825,-0.015566
20110826,0.015122
20110829,0.028280
20110830,0.002347
20110831,0.004922
20110901,-0.011871
20110902,-0.025282
20110906,-0.007436
20110907,0.028646
20110908,-0.010612
20110909,-0.026705
20110912,0.006966
20110913,0.009120
20110914,0.013480
20110915,0.017187
20110916,0.005707
20110919,-0.009803
20110920,-0.001661
20110921,-0.029390
20110922,-0.031883
20110923,0.006082
20110926,0.023336
20110927,0.010688
20110928,-0.020691
20110929,0.008114
20110930,-0.024974
20111003,-0.028451
20111004,0.022488
20111005,0.017866
20111006,0.018304
20111007,-0.008163
20111010,0.034125
20111011,0.000544
20111012,0.009795
20111013,-0.002974
20111014,0.017380
20111017,-0.019370
20111018,0.020419
20111019,-0.012649
20111020,0.004554
20111021,0.018809
20111024,0.012873
20111025,-0.020045
20111026,0.010537
20111027,0.034291
20111028,0.000389
20111031,-0.024738
20111101,-0.027942
20111102,0.016105
20111103,0.018782
20111104,-0.006280
20111107,0.006296
20111108,0.011736
20111109,-0.036695
20111110,0.008616
20111111,0.019489
20111114,-0.009550
20111115,0.004817
20111116,-0.016616
20111117,-0.016800
20111118,-0.000395
20111121,-0.018648
20111122,-0.004141
20111123,-0.022095
20111125,-0.002686
20111128,0.029240
20111129,0.002214
20111130,0.043315
20111201,-0.001909
20111202,-0.000241
20111205,0.010287
20111206,0.001106
20111207,0.002018
20111208,-0.021142
20111209,0.016883
20111212,-0.014914
20111213,-0.008686
20111214,-0.011348
20111215,0.003243
20111216,0.003216
20111219,-0.011733
20111220,0.029825
20111221,0.001950
20111222,0.008266
20111223,0.009035
20111227,0.000079
20111228,-0.012478
20111229,0.010707
20111230,-0.004291
20120103,0.015474
20120104,0.000188
20120105,0.002944
20120106,-0.002537
